   1.0000000e+00   5.6900000e+02   3.4600000e+02   5.7000000e+02   5.7100000e+02
   2.0000000e+00   5.6900000e+02   5.7000000e+02   5.2100000e+02   5.7100000e+02
   3.0000000e+00   5.6900000e+02   5.7200000e+02   3.5400000e+02   5.7100000e+02
   4.0000000e+00   5.6900000e+02   5.7300000e+02   5.7400000e+02   5.4900000e+02
   5.0000000e+00   5.6900000e+02   5.7300000e+02   5.4900000e+02   5.4800000e+02
   6.0000000e+00   5.6900000e+02   5.7100000e+02   5.2100000e+02   5.3500000e+02
   7.0000000e+00   5.7500000e+02   5.7600000e+02   5.6400000e+02   2.3700000e+02
   8.0000000e+00   5.7500000e+02   5.6500000e+02   1.2100000e+02   5.6400000e+02
   9.0000000e+00   5.7500000e+02   2.3800000e+02   5.7700000e+02   5.7800000e+02
   1.0000000e+01   5.7500000e+02   1.5700000e+02   5.7700000e+02   5.6500000e+02
   1.1000000e+01   5.7500000e+02   5.7600000e+02   4.3000000e+02   5.6400000e+02
   1.2000000e+01   5.7500000e+02   5.6500000e+02   1.5800000e+02   1.5700000e+02
   1.3000000e+01   5.7900000e+02   5.8000000e+02   4.6100000e+02   3.7800000e+02
   1.4000000e+01   5.7500000e+02   5.6400000e+02   4.3000000e+02   1.5800000e+02
   1.5000000e+01   5.8100000e+02   4.6300000e+02   2.8000000e+01   2.7000000e+01
   1.6000000e+01   5.8100000e+02   3.7600000e+02   2.6300000e+02   2.8500000e+02
   1.7000000e+01   4.6300000e+02   5.8200000e+02   1.8000000e+02   5.8100000e+02
   1.8000000e+01   5.8100000e+02   5.8300000e+02   4.6300000e+02   5.8200000e+02
   1.9000000e+01   5.8100000e+02   2.6300000e+02   3.0000000e+01   2.8500000e+02
   2.0000000e+01   5.8400000e+02   2.7600000e+02   2.2300000e+02   1.0800000e+02
   2.1000000e+01   1.8000000e+02   2.6300000e+02   3.0000000e+01   5.8100000e+02
   2.2000000e+01   5.8100000e+02   5.8300000e+02   5.8200000e+02   2.6300000e+02
   2.3000000e+01   5.8500000e+02   2.7900000e+02   2.7700000e+02   3.3800000e+02
   2.4000000e+01   2.4100000e+02   5.7900000e+02   5.8600000e+02   5.8700000e+02
